时间,发动机转速
2021-03-19 13:32:29.842416,1
2021-03-19 13:32:30.848715,60
2021-03-19 13:32:31.849844,600
2021-03-19 13:32:32.851733,600
2021-03-19 13:32:33.857105,540
2021-03-19 13:32:34.861091,600
2021-03-19 13:32:35.862515,600
2021-03-19 13:32:36.864496,600
2021-03-19 13:32:37.865888,600
2021-03-19 13:32:38.867323,540
2021-03-19 13:32:39.869772,600
2021-03-19 13:32:40.871771,600
2021-03-19 13:32:41.876258,600
2021-03-19 13:32:42.878878,600
2021-03-19 13:32:43.885405,540
2021-03-19 13:32:44.886848,600
2021-03-19 13:32:45.889232,600
2021-03-19 13:32:46.892378,540
2021-03-19 13:32:47.898060,600
2021-03-19 13:32:48.900230,600
2021-03-19 13:32:49.905049,600
2021-03-19 13:32:50.906487,600
2021-03-19 13:32:51.911428,540
2021-03-19 13:32:52.913885,600
2021-03-19 13:32:53.915408,600
2021-03-19 13:32:54.916333,600
2021-03-19 13:32:55.922561,540
2021-03-19 13:32:56.926690,600
2021-03-19 13:32:57.929367,600
2021-03-19 13:32:58.933007,600
2021-03-19 13:32:59.936690,540
2021-03-19 13:33:00.940982,600
2021-03-19 13:33:01.947054,600
2021-03-19 13:33:02.949855,540
2021-03-19 13:33:03.955039,600
2021-03-19 13:33:04.958178,600
2021-03-19 13:33:05.959616,600
2021-03-19 13:33:06.961037,540
2021-03-19 13:33:07.967534,600
2021-03-19 13:33:08.972478,600
2021-03-19 13:33:09.977399,600
2021-03-19 13:33:10.979848,540
2021-03-19 13:33:11.985612,600
2021-03-19 13:33:12.989672,600
2021-03-19 13:33:13.993544,600
2021-03-19 13:33:14.995852,540
2021-03-19 13:33:16.000250,600
2021-03-19 13:33:17.006551,540
2021-03-19 13:33:18.011840,540
2021-03-19 13:33:19.014401,600
2021-03-19 13:33:20.016140,600
2021-03-19 13:33:21.021345,600
2021-03-19 13:33:22.026640,540
2021-03-19 13:33:23.033130,540
2021-03-19 13:33:24.034794,600
2021-03-19 13:33:25.037012,540
2021-03-19 13:33:26.038380,600
2021-03-19 13:33:27.044458,600
2021-03-19 13:33:28.049816,600
2021-03-19 13:33:29.055568,540
2021-03-19 13:33:30.059793,600
2021-03-19 13:33:31.061250,600
2021-03-19 13:33:32.063274,600
2021-03-19 13:33:33.067940,540
2021-03-19 13:33:34.073665,600
2021-03-19 13:33:35.076912,600
2021-03-19 13:33:36.078317,540
2021-03-19 13:33:37.083593,600
2021-03-19 13:33:38.088715,600
2021-03-19 13:33:39.090093,540
2021-03-19 13:33:40.094076,600
2021-03-19 13:33:41.100586,600
2021-03-19 13:33:42.105952,540
2021-03-19 13:33:43.112560,600
2021-03-19 13:33:44.119109,600
2021-03-19 13:33:45.125074,600
2021-03-19 13:33:46.129480,540
2021-03-19 13:33:47.136081,600
2021-03-19 13:33:48.142633,600
2021-03-19 13:33:49.146363,540
2021-03-19 13:33:50.152569,600
2021-03-19 13:33:51.154003,600
2021-03-19 13:33:52.160720,540
2021-03-19 13:33:53.166402,600
2021-03-19 13:33:54.167815,600
2021-03-19 13:33:55.170424,540
2021-03-19 13:33:56.175250,600
2021-03-19 13:33:57.176740,600
2021-03-19 13:33:58.183233,540
2021-03-19 13:33:59.184621,600
2021-03-19 13:34:00.187316,600
2021-03-19 13:34:01.190666,600
2021-03-19 13:34:02.197178,540
2021-03-19 13:34:03.198645,600
2021-03-19 13:34:04.205329,540
2021-03-19 13:34:05.211877,600
2021-03-19 13:34:06.216243,600
2021-03-19 13:34:07.222759,600
2021-03-19 13:34:08.229326,540
2021-03-19 13:34:09.230715,600
2021-03-19 13:34:10.236976,600
2021-03-19 13:34:11.243515,600
2021-03-19 13:34:12.247418,540
2021-03-19 13:34:13.251523,600
2021-03-19 13:34:14.258128,600
2021-03-19 13:34:15.259581,540
2021-03-19 13:34:16.266111,600
2021-03-19 13:34:17.269551,600
2021-03-19 13:34:18.272662,600
2021-03-19 13:34:19.279164,540
2021-03-19 13:34:20.284872,600
2021-03-19 13:34:21.290815,600
2021-03-19 13:34:22.297404,540
2021-03-19 13:34:23.298887,600
2021-03-19 13:34:24.300731,600
2021-03-19 13:34:25.304150,540
2021-03-19 13:34:26.309561,600
2021-03-19 13:34:27.314077,600
2021-03-19 13:34:28.315850,600
2021-03-19 13:34:29.321236,540
2021-03-19 13:34:30.326650,600
2021-03-19 13:34:31.332081,600
2021-03-19 13:34:32.337478,600
2021-03-19 13:34:33.342009,600
2021-03-19 13:34:34.344843,540
2021-03-19 13:34:35.346286,600
2021-03-19 13:34:36.347378,600
2021-03-19 13:34:37.351384,600
2021-03-19 13:34:38.352965,540
2021-03-19 13:34:39.357249,600
