时间,电流
2021-03-19 13:32:29.842416,1
2021-03-19 13:32:30.848715,1
2021-03-19 13:32:31.849844,1
2021-03-19 13:32:32.851733,1
2021-03-19 13:32:33.857105,1
2021-03-19 13:32:34.861091,1
2021-03-19 13:32:35.862515,1
2021-03-19 13:32:36.864496,1
2021-03-19 13:32:37.865888,1
2021-03-19 13:32:38.867323,1
2021-03-19 13:32:39.869772,1
2021-03-19 13:32:40.871771,1
2021-03-19 13:32:41.876258,1
2021-03-19 13:32:42.878878,1
2021-03-19 13:32:43.885405,1
2021-03-19 13:32:44.886848,1
2021-03-19 13:32:45.889232,1
2021-03-19 13:32:46.892378,1
2021-03-19 13:32:47.898060,1
2021-03-19 13:32:48.900230,1
2021-03-19 13:32:49.905049,1
2021-03-19 13:32:50.906487,1
2021-03-19 13:32:51.911428,1
2021-03-19 13:32:52.913885,1
2021-03-19 13:32:53.915408,1
2021-03-19 13:32:54.916333,1
2021-03-19 13:32:55.922561,1
2021-03-19 13:32:56.926690,1
2021-03-19 13:32:57.929367,1
2021-03-19 13:32:58.933007,1
2021-03-19 13:32:59.936690,1
2021-03-19 13:33:00.940982,1
2021-03-19 13:33:01.947054,1
2021-03-19 13:33:02.949855,1
2021-03-19 13:33:03.955039,1
2021-03-19 13:33:04.958178,1
2021-03-19 13:33:05.959616,1
2021-03-19 13:33:06.961037,1
2021-03-19 13:33:07.967534,1
2021-03-19 13:33:08.972478,1
2021-03-19 13:33:09.977399,1
2021-03-19 13:33:10.979848,1
2021-03-19 13:33:11.985612,1
2021-03-19 13:33:12.989672,1
2021-03-19 13:33:13.993544,1
2021-03-19 13:33:14.995852,1
2021-03-19 13:33:16.000250,1
2021-03-19 13:33:17.006551,1
2021-03-19 13:33:18.011840,1
2021-03-19 13:33:19.014401,1
2021-03-19 13:33:20.016140,1
2021-03-19 13:33:21.021345,1
2021-03-19 13:33:22.026640,1
2021-03-19 13:33:23.033130,1
2021-03-19 13:33:24.034794,1
2021-03-19 13:33:25.037012,1
2021-03-19 13:33:26.038380,1
2021-03-19 13:33:27.044458,1
2021-03-19 13:33:28.049816,1
2021-03-19 13:33:29.055568,1
2021-03-19 13:33:30.059793,1
2021-03-19 13:33:31.061250,1
2021-03-19 13:33:32.063274,1
2021-03-19 13:33:33.067940,1
2021-03-19 13:33:34.073665,1
2021-03-19 13:33:35.076912,1
2021-03-19 13:33:36.078317,1
2021-03-19 13:33:37.083593,1
2021-03-19 13:33:38.088715,1
2021-03-19 13:33:39.090093,1
2021-03-19 13:33:40.094076,1
2021-03-19 13:33:41.100586,1
2021-03-19 13:33:42.105952,1
2021-03-19 13:33:43.112560,1
2021-03-19 13:33:44.119109,1
2021-03-19 13:33:45.125074,1
2021-03-19 13:33:46.129480,1
2021-03-19 13:33:47.136081,1
2021-03-19 13:33:48.142633,1
2021-03-19 13:33:49.146363,1
2021-03-19 13:33:50.152569,1
2021-03-19 13:33:51.154003,1
2021-03-19 13:33:52.160720,1
2021-03-19 13:33:53.166402,1
2021-03-19 13:33:54.167815,1
2021-03-19 13:33:55.170424,1
2021-03-19 13:33:56.175250,1
2021-03-19 13:33:57.176740,1
2021-03-19 13:33:58.183233,1
2021-03-19 13:33:59.184621,1
2021-03-19 13:34:00.187316,1
2021-03-19 13:34:01.190666,1
2021-03-19 13:34:02.197178,1
2021-03-19 13:34:03.198645,1
2021-03-19 13:34:04.205329,1
2021-03-19 13:34:05.211877,1
2021-03-19 13:34:06.216243,1
2021-03-19 13:34:07.222759,1
2021-03-19 13:34:08.229326,1
2021-03-19 13:34:09.230715,1
2021-03-19 13:34:10.236976,1
2021-03-19 13:34:11.243515,1
2021-03-19 13:34:12.247418,1
2021-03-19 13:34:13.251523,1
2021-03-19 13:34:14.258128,1
2021-03-19 13:34:15.259581,1
2021-03-19 13:34:16.266111,1
2021-03-19 13:34:17.269551,1
2021-03-19 13:34:18.272662,1
2021-03-19 13:34:19.279164,1
2021-03-19 13:34:20.284872,1
2021-03-19 13:34:21.290815,1
2021-03-19 13:34:22.297404,1
2021-03-19 13:34:23.298887,1
2021-03-19 13:34:24.300731,1
2021-03-19 13:34:25.304150,1
2021-03-19 13:34:26.309561,1
2021-03-19 13:34:27.314077,1
2021-03-19 13:34:28.315850,1
2021-03-19 13:34:29.321236,1
2021-03-19 13:34:30.326650,1
2021-03-19 13:34:31.332081,1
2021-03-19 13:34:32.337478,1
2021-03-19 13:34:33.342009,1
2021-03-19 13:34:34.344843,1
2021-03-19 13:34:35.346286,1
2021-03-19 13:34:36.347378,1
2021-03-19 13:34:37.351384,1
2021-03-19 13:34:38.352965,1
2021-03-19 13:34:39.357249,1
